Ingredient,Primary Effect,Secondary Effect,Tertiary Effect,Quaternary Effect,Weight ,Value ,Obtained,Ingredient_note
65,2,17,37,29,0.1,5,Luna Moth,Basic
66,50,41,46,38,0.3,50,Khajiit Caravans,Basic
67,46,30,39,16,0.3,4,Dead Trees,Basic
68,47,0,43,40,0.3,2,Mudcrabs,Basic
69,2,18,6,37,0.3,0,Caves,Basic
70,33,10,47,6,0.5,20,Netch,Dragonborn DLC
71,1,3,32,12,0.1,8,"Graveyards, undead areas",Basic
72,1,4,29,42,0.2,10,Near water,Basic
73,2,49,37,22,0.2,5,Underwater,Basic
74,47,35,22,30,0.1,1,Hovering above water,Basic
75,47,9,46,44,0.1,2,Satchels; Alchemy Laboratory of a Homestead† Pearl Oyster‡,Basic
76,47,18,53,44,0.5,2,Nests in forests,Basic
77,1,48,10,6,0.3,5,Darkfall Cave,Dawnguard DLC
78,47,25,50,6,0.1,2,"Giant Camps, Alchemy Laboratory of a Homestead†",Basic
79,47,25,31,41,0.1,2,Mountain flower clumps,Basic
80,46,35,19,1,0.1,2,Mountain flower clumps,Basic
81,1,7,48,10,0.3,15,"Lakes, rivers, streams and fish barrels",Basic
82,45,21,4,52,0.5,2,Rock Warbler Nest,Basic
83,47,15,24,53,0.1,2,"Sabre Cat, Snowy Sabre Cat",Basic
84,47,49,19,38,0.2,5,"Salmon jumping up falls, Kitchen of a Homestead†",Hearthfire DLC
85,52,23,48,38,0.2,2,"Merchants, containers, near cooking places",Basic
86,52,16,39,10,0.3,4,Dead birch trees,Basic
87,34,36,35,30,0.1,1,Harvested all over Solstheim,Dragonborn DLC
88,47,5,34,41,0.3,15,"Lakes, rivers, streams and fish barrels",Basic
89,5,34,1,17,0.2,3,Skeever,Basic
90,43,22,30,26,0.2,3,Underwater,Basic
91,41,30,15,9,0.1,3,Slaughterfish,Basic
92,53,23,32,1,0.1,2,Elk,Basic
93,47,21,23,41,0.1,2,Pearl Oyster‡,Basic
94,40,13,41,44,0.1,4,"Snowberry bush, snowy areas",Basic
95,36,40,13,35,0.1,20,Ash Spawn,Dragonborn DLC
96,4,3,18,20,0.2,5,Spider lairs,Basic
97,3,13,24,7,0.2,15,Spriggan,Basic
98,44,31,33,45,0.3,5,Swamps,Basic
99,52,16,38,46,0.5,15,Spriggan,Basic
100,41,36,43,15,0.1,1,Thistle Plant,Basic
101,47,31,52,26,0.1,1,"Torchbugs, glowing at night",Basic
102,54,10,2,48,0.2,1,Harvested from ashen areas of Solstheim,Dragonborn DLC
103,43,27,28,1,1.0,15,Trolls,Basic
104,42,19,9,8,0.1,1,"High mountains below snow line, tundra",Basic
105,29,46,37,0,0.2,25,"Vampires, the Silver Hand",Basic
106,54,42,1,19,0.2,125,Storm Atronach,Basic
107,45,14,5,31,0.1,5,"Grows on farms, containers",Basic
108,51,15,46,35,0.3,0,Mushroom clusters near caves or dungeons,Basic
109,47,12,10,42,0.1,2,Wispmother,Basic
110,43,23,14,5,0.1,2,"Darkfall Cave, Ancestor Glade",Dawnguard DLC
